# diff_v,diff_w,# v_mps,w_radps,dt_s,cmd_v,cmd_w,a_v,a_w,err_v,err_w,v_x_w
-0.06456882574461648,0.057771516034862525,0.35133406593079114,0.27132185216530974,0.05,0.19648209992219184,0.2661371152211717,-1.2913765148923295,1.1554303206972505,-0.1548519660085993,-0.005184736944138013,0.0953246094971113
-0.05335700802576587,0.02208441273408951,0.29797705790502527,0.29340626489939925,0.05,0.20486511635914542,0.26863170494033917,-1.0671401605153175,0.4416882546817902,-0.09311194154587984,-0.024774559959060083,0.08742833558562547
-0.04572996585182415,-0.000493406471120672,0.2522470920532011,0.2929128584282786,0.05,0.06849274463539262,0.25558388777270047,-0.914599317036483,-0.00986812942241344,-0.1837543474178085,-0.03732897065557811,0.07388641676352425
-0.02742981038001782,-0.043416291577239086,0.2248172816731833,0.2494965668510395,0.05,-0.024721572364886087,0.2512122836034659,-0.5485962076003564,-0.8683258315447817,-0.24953885403806939,0.0017157167524264327,0.056091139946242353
-0.036403258853239084,-0.029577518635859584,0.1884140228199442,0.2199190482151799,0.05,-0.024721572364886087,0.2512122836034659,-0.7280651770647817,-0.5915503727171917,-0.2131355951848303,0.03129323538828602,0.04143583256895532
-0.057960850483883525,-0.007912507638857785,0.13045317233606069,0.21200654057632212,0.05,-0.0719866712908078,0.24373445874679073,-1.1592170096776704,-0.1582501527771557,-0.20243984362686848,0.031727918170468605,0.027656925774174994
-0.07386371508628117,0.014846095111232999,0.05658945724977951,0.22685263568755512,0.05,-0.12709562512088915,0.2429471775602795,-1.4772743017256234,0.29692190222466,-0.18368508237066866,0.016094541872724383,0.012837467529240707
-0.11652141576688524,0.0021312420094290185,-0.059931958517105734,0.22898387769698414,0.05,-0.12538890188531812,0.24063324903778266,-2.330428315337705,0.04262484018858037,-0.0654569433682124,0.01164937134079852,-0.013723452259221666
-0.04151851877431017,-0.004139858438484079,-0.1014504772914159,0.22484401925850006,0.05,-0.11063549964771578,0.22450074163712322,-0.8303703754862033,-0.08279716876968157,-0.00918502235629988,-0.0003432776213768418,-0.02281053306989514
-0.019112778970281935,-0.00316446410429716,-0.12056325626169784,0.2216795551542029,0.05,-0.15419045460781233,0.18471383744147996,-0.3822555794056387,-0.0632892820859432,-0.033627198346114495,-0.036965717712722945,-0.026726409016035343
